date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:52:28	18608/18608	---M--	200	added ('OK')	image/jpeg	etag:%2262b41503-48b0%22	https://www.supergres.com/media/__sized__/products/ambience/image/Supergres_Astrum_LIVING_WHTIE_CROSS_CUT_DD22-crop-c0-5__0-5-330x430-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/Supergres_Astrum_LIVING_WHTIE_CROSS_CUT_DD22-crop-c0-5__0-5-330x430-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:28	73041/73041	---M--	200	added ('OK')	image/jpeg	etag:%2262b41503-11d51%22	https://www.supergres.com/media/__sized__/products/ambience/image/Supergres_Astrum_LIVING_WHTIE_CROSS_CUT_DD22-thumbnail-1440x800-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/Supergres_Astrum_LIVING_WHTIE_CROSS_CUT_DD22-thumbnail-1440x800-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:29	15546/15546	---M--	200	added ('OK')	image/jpeg	etag:%2262b41504-3cba%22	https://www.supergres.com/media/__sized__/products/ambience/image/8_sand_vein_cut_spa_DD22-crop-c0-5__0-5-330x430-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/8_sand_vein_cut_spa_DD22-crop-c0-5__0-5-330x430-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:29	51110/51110	---M--	200	added ('OK')	image/jpeg	etag:%2262b41504-c7a6%22	https://www.supergres.com/media/__sized__/products/ambience/image/8_sand_vein_cut_spa_DD22-thumbnail-1440x800-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/8_sand_vein_cut_spa_DD22-thumbnail-1440x800-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:29	85395/85395	---M--	200	added ('OK')	image/jpeg	etag:%2262b41504-14d93%22	https://www.supergres.com/media/__sized__/products/ambience/image/9_sand_vein_cut_spa_p1_DD22-thumbnail-1440x800-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/9_sand_vein_cut_spa_p1_DD22-thumbnail-1440x800-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:30	19475/19475	---M--	200	added ('OK')	image/jpeg	etag:%2262b41504-4c13%22	https://www.supergres.com/media/__sized__/products/ambience/image/9_sand_vein_cut_spa_p1_DD22-crop-c0-5__0-5-330x430-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/9_sand_vein_cut_spa_p1_DD22-crop-c0-5__0-5-330x430-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:30	16196/16196	---M--	200	added ('OK')	image/jpeg	etag:%2262b41505-3f44%22	https://www.supergres.com/media/__sized__/products/ambience/image/10_sand_vein_cut_spa_p2_DD22-crop-c0-5__0-5-330x430-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/10_sand_vein_cut_spa_p2_DD22-crop-c0-5__0-5-330x430-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:30	70399/70399	---M--	200	added ('OK')	image/jpeg	etag:%2262b41505-112ff%22	https://www.supergres.com/media/__sized__/products/ambience/image/10_sand_vein_cut_spa_p2_DD22-thumbnail-1440x800-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/10_sand_vein_cut_spa_p2_DD22-thumbnail-1440x800-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:30	66871/66871	---M--	200	added ('OK')	image/jpeg	etag:%2262b41505-10537%22	https://www.supergres.com/media/__sized__/products/ambience/image/11_Supergres_Light_Vein_p2_DD22-thumbnail-1440x800-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/11_Supergres_Light_Vein_p2_DD22-thumbnail-1440x800-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:30	15270/15270	---M--	200	added ('OK')	image/jpeg	etag:%2262b41505-3ba6%22	https://www.supergres.com/media/__sized__/products/ambience/image/11_Supergres_Light_Vein_p2_DD22-crop-c0-5__0-5-330x430-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/11_Supergres_Light_Vein_p2_DD22-crop-c0-5__0-5-330x430-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:31	62703/62703	---M--	200	added ('OK')	image/jpeg	etag:%2262b41506-f4ef%22	https://www.supergres.com/media/__sized__/products/ambience/image/5_SUPERGRES_Astrum_Beige_120X120_p2_DD22-thumbnail-1440x800-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/5_SUPERGRES_Astrum_Beige_120X120_p2_DD22-thumbnail-1440x800-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:31	17703/17703	---M--	200	added ('OK')	image/jpeg	etag:%2262b41506-4527%22	https://www.supergres.com/media/__sized__/products/ambience/image/5_SUPERGRES_Astrum_Beige_120X120_p2_DD22-crop-c0-5__0-5-330x430-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/5_SUPERGRES_Astrum_Beige_120X120_p2_DD22-crop-c0-5__0-5-330x430-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:31	78917/78917	---M--	200	added ('OK')	image/jpeg	etag:%2262b41506-13445%22	https://www.supergres.com/media/__sized__/products/ambience/image/7_SUPERGRES_Astrum_Ivory_120x120__NEGOZIO_p1_DD22-thumbnail-1440x800-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/7_SUPERGRES_Astrum_Ivory_120x120__NEGOZIO_p1_DD22-thumbnail-1440x800-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:31	16332/16332	---M--	200	added ('OK')	image/jpeg	etag:%2262b41506-3fcc%22	https://www.supergres.com/media/__sized__/products/ambience/image/7_SUPERGRES_Astrum_Ivory_120x120__NEGOZIO_p1_DD22-crop-c0-5__0-5-330x430-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/7_SUPERGRES_Astrum_Ivory_120x120__NEGOZIO_p1_DD22-crop-c0-5__0-5-330x430-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:32	125245/125245	---M--	200	added ('OK')	image/jpeg	etag:%2262bdbee4-1e93d%22	https://www.supergres.com/media/__sized__/products/ambience/image/SUPERGRES_Astrum_Beige_T20_60x60_DD22-thumbnail-1440x800-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/SUPERGRES_Astrum_Beige_T20_60x60_DD22-thumbnail-1440x800-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:32	29918/29918	---M--	200	added ('OK')	image/jpeg	etag:%2262bdbee3-74de%22	https://www.supergres.com/media/__sized__/products/ambience/image/SUPERGRES_Astrum_Beige_T20_60x60_DD22-crop-c0-5__0-5-330x430-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/SUPERGRES_Astrum_Beige_T20_60x60_DD22-crop-c0-5__0-5-330x430-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:32	128998/128998	---M--	200	added ('OK')	image/jpeg	etag:%2262bdbee4-1f7e6%22	https://www.supergres.com/media/__sized__/products/ambience/image/SUPERGRES_PISCINA_Astrum_Ivory_60x120T20_DD22-thumbnail-1440x800-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/SUPERGRES_PISCINA_Astrum_Ivory_60x120T20_DD22-thumbnail-1440x800-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:33	19117/19117	---M--	200	added ('OK')	image/jpeg	etag:%2262bdbee4-4aad%22	https://www.supergres.com/media/__sized__/products/ambience/image/SUPERGRES_PISCINA_Astrum_Ivory_60x120T20_DD22-crop-c0-5__0-5-330x430-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/SUPERGRES_PISCINA_Astrum_Ivory_60x120T20_DD22-crop-c0-5__0-5-330x430-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:33	64877/64877	---M--	200	added ('OK')	image/jpeg	etag:%2262b41501-fd6d%22	https://www.supergres.com/media/__sized__/products/ambience/image/3_Supergres_Amb_Light_Vein_cut_60X120_DD22-crop-c0-5__0-5-800x1100-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/3_Supergres_Amb_Light_Vein_cut_60X120_DD22-crop-c0-5__0-5-800x1100-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
